address,city,district,districtid,districtncesid,enrollment,fax,graderange,gsid,gsrating,lat,lon,name,ncesid,overviewlink,phone,ratingslink,reviewslink,schoolstatslink,state,type,website
"2950 South Bear Valley Parkway, 
Escondido, CA  92025",Escondido,Escondido Union School District,684,0612880,1236,(760) 739-8289,K-8,12038,7,33.0844,-117.0555,Classical Academy,061288008300,https://www.greatschools.org/california/escondido/12038-Classical-Academy/?s_cid=gsapi,(760) 546-0101,https://www.greatschools.org/school/rating.page?state=CA&id=12038&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=12038&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/12038,CA,charter,www.classicalacademy.com
"1325 Conway Drive, 
Escondido, CA  92027",Escondido,Escondido Union School District,684,0612880,693,(760) 480-4312,K-5,5889,3,33.146313,-117.07395,Conway Elementary School,061288001452,https://www.greatschools.org/california/escondido/5889-Conway-Elementary-School/?s_cid=gsapi,(760) 432-2435,https://www.greatschools.org/school/rating.page?state=CA&id=5889&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5889&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5889,CA,public,http://www.eusd4kids.org/
"1400 West Ninth Avenue, 
Escondido, CA  92025",Escondido,Escondido Union School District,684,0612880,859,(760) 432-0728,6-8,5890,3,33.10857,-117.09426,Del Dios Middle School,061288001453,https://www.greatschools.org/california/escondido/5890-Del-Dios-Middle-School/?s_cid=gsapi,(760) 432-2439,https://www.greatschools.org/school/rating.page?state=CA&id=5890&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5890&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5890,CA,public,
"6134 Benson Avenue, 
San Diego, CA  92114",San Diego,San Diego Unified School District,705,0634320,270,,K-8,31084,2,32.705696,-117.065,Epiphany Prep Charter,063432013053,https://www.greatschools.org/california/san-diego/31084-Epiphany-Prep-Charter/?s_cid=gsapi,(619) 766-2180,https://www.greatschools.org/school/rating.page?state=CA&id=31084&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=31084&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/31084,CA,charter,http://www.epiphanyprep.org/
"4880 La Cuenta Drive, 
San Diego, CA  92124",San Diego,San Diego Unified School District,705,0634320,436,(858) 576-0931,6-8,6139,7,32.81975,-117.09992,Farb Middle School,063432005456,https://www.greatschools.org/california/san-diego/6139-Farb-Middle-School/?s_cid=gsapi,(858) 397-6750,https://www.greatschools.org/school/rating.page?state=CA&id=6139&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=6139&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/6139,CA,public,https://www.sandiegounified.org/schools/farb
"670 Flower Street, 
Chula Vista, CA  91910",Chula Vista,Chula Vista Elementary School District,677,0608610,1157,(619) 422-4780,K-8,5833,7,32.64225,-117.09688,Feaster (Mae L.) Charter School,060861000858,https://www.greatschools.org/california/chula-vista/5833-Feaster-(Mae-L.)-Charter-School/?s_cid=gsapi,(619) 422-8397,https://www.greatschools.org/school/rating.page?state=CA&id=5833&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5833&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5833,CA,charter,http://schools.cvesd.org/schools/feaster/
"1777 Howard Avenue, 
San Ysidro, CA  92173",San Ysidro,South Bay Union Elementary,703,0637380,837,(619) 428-7180,K-6,6081,3,32.564247,-117.06665,George Nicoloff Elementary School,063738006322,https://www.greatschools.org/california/san-ysidro/6081-George-Nicoloff-Elementary-School/?s_cid=gsapi,(619) 428-7100,https://www.greatschools.org/school/rating.page?state=CA&id=6081&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=6081&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/6081,CA,public,http://nicoloff.sbusd.org/
"1855 East Valley Parkway, 
Escondido, CA  92027",Escondido,Escondido Union School District,684,0612880,602,(760) 737-9322,K-8,12440,8,33.136253,-117.05446,Heritage K-8 Charter School,061288011228,https://www.greatschools.org/california/escondido/12440-Heritage-K-8-Charter-School/?s_cid=gsapi,(760) 737-3111,https://www.greatschools.org/school/rating.page?state=CA&id=12440&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=12440&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/12440,CA,charter,
"13306 Fourth Street, Area A, 
Area A
Hickman, CA  95323",Hickman,Hickman Community Charter,883,0617160,305,(209) 874-3721,K-5,7229,8,37.620792,-120.74942,Hickman Elementary School,061716002171,https://www.greatschools.org/california/hickman/7229-Hickman-Elementary-School/?s_cid=gsapi,(209) 874-1816,https://www.greatschools.org/school/rating.page?state=CA&id=7229&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=7229&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/7229,CA,charter,http://hes.hickmanschools.org
"1656 Highway 78, 
Julian, CA  92036",Julian,Julian Union High,691,0619110,153,(760) 765-2926,9-12,5938,6,33.07753,-116.59452,Julian High School,061911002305,https://www.greatschools.org/california/julian/5938-Julian-High-School/?s_cid=gsapi,(760) 765-0606,https://www.greatschools.org/school/rating.page?state=CA&id=5938&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5938&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5938,CA,public,www.juhsd.org
"1098 South 49th Street, 
San Diego, CA  92113",San Diego,,0,,580,,6-8,25642,1,32.695793,-117.0907,Knox Middle,063432012892,https://www.greatschools.org/california/san-diego/25642-Knox-Middle/?s_cid=gsapi,(619) 344-5500,https://www.greatschools.org/school/rating.page?state=CA&id=25642&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=25642&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/25642,CA,public,
"30109 Lilac Road, 
Valley Center, CA  92082",Valley Center,Valley Center-Pauma Unified,1050,0600069,610,(760) 751-7407,K-6,12421,4,33.257683,-117.06849,Lilac School,060006911158,https://www.greatschools.org/california/valley-center/12421-Lilac-School/?s_cid=gsapi,(760) 751-1042,https://www.greatschools.org/school/rating.page?state=CA&id=12421&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=12421&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/12421,CA,public,http://lilac.vcpusd.net
"11440 Davis Street, 
Moreno Valley, CA  92557",Moreno Valley,Moreno Valley Unified School District,525,0625800,685,(951) 571-4615,K-5,4381,2,33.955135,-117.23951,Midland Elementary School,062580003866,https://www.greatschools.org/california/moreno-valley/4381-Midland-Elementary-School/?s_cid=gsapi,(951) 571-4610,https://www.greatschools.org/school/rating.page?state=CA&id=4381&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=4381&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/4381,CA,public,http://midlandthunderbirds.net
"1 Mission Hills Court, 
San Marcos, CA  92069",San Marcos,San Marcos Unified School District,706,0634880,2530,(760) 290-2680 x7602902685,9-12,13848,8,33.144825,-117.14321,Mission Hills High School,063488011404,https://www.greatschools.org/california/san-marcos/13848-Mission-Hills-High-School/?s_cid=gsapi,(760) 290-2700,https://www.greatschools.org/school/rating.page?state=CA&id=13848&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=13848&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/13848,CA,public,www.smusd.org
"3750 Ward Road, 
San Diego, CA  92116",San Diego,San Diego Unified School District,705,0634320,316,(619) 584-6090,K-5,16971,4,32.76111,-117.11376,Normal Heights Elementary School,063432011765,https://www.greatschools.org/california/san-diego/16971-Normal-Heights-Elementary-School/?s_cid=gsapi,(619) 584-6000,https://www.greatschools.org/school/rating.page?state=CA&id=16971&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=16971&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/16971,CA,public,https://www.sandiegounified.org/schools/normal-heights
"675 Balour Drive, 
Encinitas, CA  92024",Encinitas,San Dieguito Union High,704,0634380,852,(760) 942-0520,7-8,6088,9,33.04214,-117.26837,Oak Crest Middle School,063438005576,https://www.greatschools.org/california/encinitas/6088-Oak-Crest-Middle-School/?s_cid=gsapi,(760) 753-6241,https://www.greatschools.org/school/rating.page?state=CA&id=6088&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=6088&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/6088,CA,public,http://oc.sduhsd.net/
"1311 Tenth Street, 
Imperial Beach, CA  91932",Imperial Beach,South Bay Union Elementary,703,0637380,563,(619) 628-8680,K-6,6082,5,32.572712,-117.11219,Oneonta Elementary School,063738006323,https://www.greatschools.org/california/imperial-beach/6082-Oneonta-Elementary-School/?s_cid=gsapi,(619) 628-8600,https://www.greatschools.org/school/rating.page?state=CA&id=6082&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=6082&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/6082,CA,public,
"8204 San Carlos Drive, 
San Diego, CA  92119",San Diego,San Diego Unified School District,705,0634320,701,(619) 461-5447,6-8,6223,7,32.80233,-117.02029,Pershing Middle School,063432005536,https://www.greatschools.org/california/san-diego/6223-Pershing-Middle-School/?s_cid=gsapi,(619) 465-3234,https://www.greatschools.org/school/rating.page?state=CA&id=6223&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=6223&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/6223,CA,public,https://www.sandiegounified.org/schools/pershing
"9500 Gilman Drive, 
MC 0536
La Jolla, CA  92093",La Jolla,San Diego Unified School District,705,0634320,846,(858) 658-0988,6-12,11112,9,32.87529,-117.23961,Preuss School Ucsd,063432008303,https://www.greatschools.org/california/la-jolla/11112-Preuss-School-Ucsd/?s_cid=gsapi,(858) 658-7404,https://www.greatschools.org/school/rating.page?state=CA&id=11112&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=11112&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/11112,CA,charter,http://preuss.ucsd.edu
"2245 Foothill Drive, 
Vista, CA  92084",Vista,Vista Unified School District,714,0641190,835,(760) 643-2490,6-8,6321,2,33.20477,-117.20518,Rancho Minerva Middle School,064119006819,https://www.greatschools.org/california/vista/6321-Rancho-Minerva-Middle-School/?s_cid=gsapi,(760) 631-4500,https://www.greatschools.org/school/rating.page?state=CA&id=6321&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=6321&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/6321,CA,public,www.rmms.vistausd.org
"915 Fourth Avenue, 
Chula Vista, CA  91911",Chula Vista,Chula Vista Elementary School District,677,0608610,636,(619) 420-6124,K-6,5849,6,32.619125,-117.07572,Rice (Lilian J.) Elementary School,060861000873,https://www.greatschools.org/california/chula-vista/5849-Rice-(Lilian-J.)-Elementary-School/?s_cid=gsapi,(619) 420-7071,https://www.greatschools.org/school/rating.page?state=CA&id=5849&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5849&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5849,CA,public,http://schools.cvesd.org/schools/rice/
"9707 1/2 Marilla Drive, 
Lakeside, CA  92040",Lakeside,Lakeside Union Elementary School District,692,0620790,274,(619) 390-2581,7-12,11105,9,32.853138,-116.94069,River Valley Charter School,062079007308,https://www.greatschools.org/california/lakeside/11105-River-Valley-Charter-School/?s_cid=gsapi,(619) 390-2579,https://www.greatschools.org/school/rating.page?state=CA&id=11105&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=11105&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/11105,CA,charter,www.rivervalleyhigh.org
"1926 E. 19th Street, Oakland CA 94606, 
Oakland, CA  94606",Oakland,Oakland Unified School District,14,0628050,550,(510) 535-2883,6-8,254,3,37.78971,-122.23796,Roosevelt Middle School,062805004312,https://www.greatschools.org/california/oakland/254-Roosevelt-Middle-School/?s_cid=gsapi,(510) 535-2877,https://www.greatschools.org/school/rating.page?state=CA&id=254&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=254&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/254,CA,public,http://www.rooseveltbulldogs.org
"207 East Pennslyvania Avenue , 
Escondido, CA  92025",Escondido,Escondido Union High,685,0612910,900,(760) 480-8118,9-12,17083,9,33.12443,-117.08017,Classical Academy High School,061291011756,https://www.greatschools.org/california/escondido/17083-Classical-Academy-High-School/?s_cid=gsapi,(760) 480-9845,https://www.greatschools.org/school/rating.page?state=CA&id=17083&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=17083&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/17083,CA,charter,http://www.classicalacademy.com
"1740 Scenic Trail Way, 
Escondido, CA  92029",Escondido,Escondido Union High,685,0612910,512,,9-12,31095,7,33.098263,-117.103775,Del Lago Academy - Campus Of Applied Science,061291013061,https://www.greatschools.org/california/escondido/31095-Del-Lago-Academy---Campus-Of-Applied-Science/?s_cid=gsapi,(760) 291-2500,https://www.greatschools.org/school/rating.page?state=CA&id=31095&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=31095&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/31095,CA,public,www.dellagoacademy.org/
"4774 East Yale Avenue, 
Fresno, CA  93703",Fresno,Fresno Unified School District,99,0614550,735,(559) 452-8834,K-6,818,3,36.7704,-119.73799,Ericson Elementary School,061455001724,https://www.greatschools.org/california/fresno/818-Ericson-Elementary-School/?s_cid=gsapi,(559) 253-6450,https://www.greatschools.org/school/rating.page?state=CA&id=818&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=818&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/818,CA,public,http://www.fresno.k12.ca.us
"1868 East Valley Parkway, 
Escondido, CA  92027",Escondido,Escondido Union High,685,0612910,880,(760) 738-8996,9-12,5906,7,33.136547,-117.05505,Escondido Charter High School,061291006493,https://www.greatschools.org/california/escondido/5906-Escondido-Charter-High-School/?s_cid=gsapi,(760) 737-3154,https://www.greatschools.org/school/rating.page?state=CA&id=5906&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5906&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5906,CA,charter,http://escondidocharter.org/tcp/
"467 Moss Street, 
Chula Vista, CA  91911",Chula Vista,Sweetwater Union High School District,710,0638640,226,(619) 420-5663,7-12,11121,2,32.615284,-117.07697,Options Secondary School,063864007709,https://www.greatschools.org/california/chula-vista/11121-Options-Secondary-School/?s_cid=gsapi,(619) 796-7320,https://www.greatschools.org/school/rating.page?state=CA&id=11121&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=11121&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/11121,CA,public,http://oss.sweetwaterschools.org/
"3300 Bear Valley Parkway, 
Escondido, CA  92025",Escondido,Escondido Union High,685,0612910,2237,(760) 739-7315,9-12,5909,8,33.077717,-117.05727,San Pasqual High School,061291001467,https://www.greatschools.org/california/escondido/5909-San-Pasqual-High-School/?s_cid=gsapi,(760) 291-6000,https://www.greatschools.org/school/rating.page?state=CA&id=5909&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5909&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5909,CA,public,www.sphseagles.com
"2400 South Stage Coach Lane, 
Fallbrook, CA  92028",Fallbrook,Fallbrook Union High,687,0613530,2183,(760) 723-6343,9-12,5920,5,33.348522,-117.24181,Fallbrook High School,061353001545,https://www.greatschools.org/california/fallbrook/5920-Fallbrook-High-School/?s_cid=gsapi,(760) 723-6300,https://www.greatschools.org/school/rating.page?state=CA&id=5920&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5920&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5920,CA,public,www.fallbrookhs.org 
"400 West Elder Street, 
Fallbrook, CA  92028",Fallbrook,Fallbrook Union Elementary School District,686,0613500,315,(760) 723-5294,K-9,5913,9,33.38028,-117.253975,Fallbrook Homeschool Academy (FHA),061350007305,https://www.greatschools.org/california/fallbrook/5913-Fallbrook-Homeschool-Academy-(FHA)/?s_cid=gsapi,(760) 731-5440,https://www.greatschools.org/school/rating.page?state=CA&id=5913&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5913&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5913,CA,public,
"2962 Jamul Drive, 
El Cajon, CA  92019",El Cajon,Cajon Valley Union School District,676,0606810,568,(619) 588-3682,K-5,5813,6,32.740116,-116.91222,Jamacha Elementary School,060681001165,https://www.greatschools.org/california/el-cajon/5813-Jamacha-Elementary-School/?s_cid=gsapi,(619) 441-6150,https://www.greatschools.org/school/rating.page?state=CA&id=5813&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5813&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5813,CA,public,http://www.cajonvalley.net/jamacha
"4370 Parks Avenue, 
La Mesa, CA  91941",La Mesa,La Mesa-Spring Valley School District,694,0620250,468,(619) 668-8352,K-6,5963,7,32.757675,-117.03212,La Mesa Dale Elementary School,062025002431,https://www.greatschools.org/california/la-mesa/5963-La-Mesa-Dale-Elementary-School/?s_cid=gsapi,(619) 668-5740,https://www.greatschools.org/school/rating.page?state=CA&id=5963&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5963&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5963,CA,public,http://www.lmsvsd.k12.ca.us/lamesadale
"12824 Lakeshore Drive, 
Lakeside, CA  92040",Lakeside,Lakeside Union Elementary School District,692,0620790,566,(619) 390-2551,K-5,5945,4,32.859905,-116.91384,Lindo Park Elementary School,062079002496,https://www.greatschools.org/california/lakeside/5945-Lindo-Park-Elementary-School/?s_cid=gsapi,(619) 390-2656,https://www.greatschools.org/school/rating.page?state=CA&id=5945&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5945&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5945,CA,public,www.lsusd.net
"1905 Magnolia Avenue, 
Carlsbad, CA  92008",Carlsbad,Carlsbad Unified School District,680,0607500,476,(760) 720-3879,K-5,5871,10,33.160103,-117.32672,Magnolia Elementary School,060750000713,https://www.greatschools.org/california/carlsbad/5871-Magnolia-Elementary-School/?s_cid=gsapi,(760) 331-5600,https://www.greatschools.org/school/rating.page?state=CA&id=5871&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5871&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5871,CA,public,www.carlsbadusd.k12.ca.us
"26890 Holly Hill Avenue, 
Hayward, CA  94545",Hayward,Hayward Unified School District,9,0616740,829,(510) 781-6129,7-8,124,6,37.63588,-122.09128,"Martin Luther King, Jr. Middle School",061674002107,"https://www.greatschools.org/california/hayward/124-Martin-Luther-King,-Jr.-Middle-School/?s_cid=gsapi",(510) 723-3120,https://www.greatschools.org/school/rating.page?state=CA&id=124&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=124&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/124,CA,public,
"200 Pate Road, 
San Clemente, CA  92672",San Clemente,Fallbrook Union Elementary School District,686,0613500,643,(760) 430-1077,K-8,5919,9,33.390434,-117.57874,San Onofre Elementary School,061350001544,https://www.greatschools.org/california/san-clemente/5919-San-Onofre-Elementary-School/?s_cid=gsapi,(760) 731-4360,https://www.greatschools.org/school/rating.page?state=CA&id=5919&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5919&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5919,CA,public,http://www.fuesd.k12.ca.us/Domain/340
"9444 Caywood Drive, 
Stockton, CA  95210",Stockton,Lodi Unified School District,752,0622230,585,(209) 953-8337,PK-6,6584,4,38.03612,-121.28806,Westwood Elementary School,062223010315,https://www.greatschools.org/california/stockton/6584-Westwood-Elementary-School/?s_cid=gsapi,(209) 953-8333,https://www.greatschools.org/school/rating.page?state=CA&id=6584&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=6584&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/6584,CA,public,http://westwood.lodiusd.net/
"6785 Imperial Avenue, 
San Diego, CA  92114",San Diego,San Diego Unified School District,705,0634320,164,,K-6,25644,2,32.715355,-117.07926,Evangeline Roberts Institute Of Learning,063432012560,https://www.greatschools.org/california/san-diego/25644-Evangeline-Roberts-Institute-Of-Learning/?s_cid=gsapi,(619) 674-6019,https://www.greatschools.org/school/rating.page?state=CA&id=25644&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=25644&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/25644,CA,charter,
"14200 Live Oak Avenue, 
Fontana, CA  92337",Fontana,Fontana Unified,604,0613920,529,(909) 357-5699,K-5,5098,4,34.03507,-117.49525,Oak Park Elementary School,061392009545,https://www.greatschools.org/california/fontana/5098-Oak-Park-Elementary-School/?s_cid=gsapi,(909) 357-5690,https://www.greatschools.org/school/rating.page?state=CA&id=5098&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5098&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5098,CA,public,www.fusd.net
"851 South Johnson Avenue, 
El Cajon, CA  92020",El Cajon,Cajon Valley Union School District,676,0606810,171,(619) 401-4151,6-8,25114,8,32.780354,-116.96007,Eje Middle Academy,060681012409,https://www.greatschools.org/california/el-cajon/25114-Eje-Middle-Academy/?s_cid=gsapi,(619) 401-4150,https://www.greatschools.org/school/rating.page?state=CA&id=25114&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=25114&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/25114,CA,charter,www.ejeacademies.org
"400 Rancho Del Oro Drive, 
Oceanside, CA  92057",Oceanside,Oceanside Unified School District,697,0628250,3076,(760) 757-5321,9-12,6002,7,33.21959,-117.31913,El Camino High School,062825004360,https://www.greatschools.org/california/oceanside/6002-El-Camino-High-School/?s_cid=gsapi,(760) 901-8000,https://www.greatschools.org/school/rating.page?state=CA&id=6002&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=6002&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/6002,CA,public,http://echs.oside.us/
"2101 Granger Avenue, 
National City, CA  91950",National City,Sweetwater Union High School District,710,0638640,921,(619) 267-4107,7-9,6285,4,32.67261,-117.07387,Granger Junior High School,063864006482,https://www.greatschools.org/california/national-city/6285-Granger-Junior-High-School/?s_cid=gsapi,(619) 472-6000,https://www.greatschools.org/school/rating.page?state=CA&id=6285&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=6285&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/6285,CA,public,www.sweetwaterschools.org/
"1109 Pacheco Road, 
Bakersfield, CA  93307",Bakersfield,Greenfield Union,215,0616050,940,(661) 832-7431,6-8,1262,4,35.310345,-119.01477,Greenfield Middle School,061605002005,https://www.greatschools.org/california/bakersfield/1262-Greenfield-Middle-School/?s_cid=gsapi,(661) 837-6110,https://www.greatschools.org/school/rating.page?state=CA&id=1262&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=1262&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/1262,CA,public,http://gms.gfusd.net/
"1100 Murray Drive, 
La Mesa, CA  91944",La Mesa,Grossmont Union High School District,688,0616230,2394,(619) 463-7108,9-12,5926,6,32.78067,-116.98498,Grossmont High School,061623002022,https://www.greatschools.org/california/la-mesa/5926-Grossmont-High-School/?s_cid=gsapi,(619) 668-6000,https://www.greatschools.org/school/rating.page?state=CA&id=5926&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5926&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5926,CA,public,http://grossmont.guhsd.net/
